Situation,wOBA,WRAA/PA,Value of Strike,Value of Ball,Value of GB,Value of LD,Value of FB,v1B,v2B,v3B,vHR
3-0,0.622,0.239,-0.117,0.051,-0.314,0.045,-0.212,0.207,0.507,0.777,1.16
3-1,0.47,0.123,-0.066,0.168,-0.197,0.162,-0.095,0.324,0.623,0.893,1.277
2-0,0.436,0.097,-0.062,0.143,-0.171,0.188,-0.069,0.35,0.65,0.919,1.303
3-2,0.384,0.057,-0.294,0.234,-0.131,0.228,-0.029,0.39,0.689,0.959,1.343
1-0,0.355,0.035,-0.035,0.088,-0.109,0.25,-0.007,0.412,0.712,0.982,1.365
2-1,0.352,0.032,-0.069,0.064,-0.107,0.252,-0.005,0.414,0.714,0.984,1.367
0-0,0.31,0,-0.037,0.032,-0.074,0.285,0.028,0.446,0.746,1.016,1.4
1-1,0.293,-0.013,-0.054,0.048,-0.061,0.298,0.041,0.459,0.759,1.029,1.413
2-2,0.273,-0.028,-0.209,0.085,-0.046,0.313,0.056,0.475,0.775,1.044,1.428
0-1,0.262,-0.037,-0.051,0.024,-0.038,0.321,0.064,0.483,0.783,1.053,1.436
1-2,0.223,-0.067,-0.171,0.038,-0.008,0.351,0.094,0.513,0.813,1.083,1.466
0-2,0.196,-0.087,-0.15,0.021,0.013,0.372,0.115,0.534,0.834,1.104,1.487
